valid_time,latitude,longitude,tp,u10,v10,t2m,slt,swvl1,swvl2,swvl3,swvl4,lai_hv,lai_lv,site_id
2015-06-01,51.80342,-0.372683,0.00096321106,1.3887043,-0.0011034012,288.3064,4.0,0.30730963,0.29068017,0.317748,0.41488647,2.3898926,2.7867432,site_1
2015-07-01,51.80342,-0.372683,0.0026054382,2.3059044,1.1376047,290.2041,4.0,0.3365054,0.29364818,0.30177593,0.40620422,2.2663574,2.3173828,site_1
2015-08-01,51.80342,-0.372683,0.0034503937,0.70426655,1.3029823,290.00537,4.0,0.3760578,0.36456144,0.29146075,0.3994751,2.1921387,2.0488281,site_1
2015-09-01,51.80342,-0.372683,0.002193451,0.09701729,-0.3587017,286.01245,4.0,0.4139377,0.40909064,0.32840002,0.39500427,2.1564941,1.9645996,site_1
2015-10-01,51.80342,-0.372683,0.001789093,-0.3703413,-0.3658514,284.3584,4.0,0.40750712,0.40322018,0.35196567,0.3925171,2.1420898,1.9381104,site_1
2015-11-01,51.80342,-0.372683,0.0020542145,3.811346,2.331008,283.11816,4.0,0.4397238,0.43698204,0.39811933,0.39204407,2.171875,2.0766602,site_1
2015-12-01,51.80342,-0.372683,0.001947403,2.8255215,5.0662165,283.66064,4.0,0.44225413,0.44161826,0.4248498,0.39512634,2.184204,2.1381836,site_1
1996-01-01,60.322,24.519,0.00037002563,-0.507329,0.28682232,266.9558,2.0,0.30091172,0.3041078,0.3154812,0.31576538,2.0344238,1.9993896,site_2
1996-02-01,60.322,24.519,0.0012245178,0.03332138,0.09608364,262.92554,2.0,0.2911361,0.29366237,0.30498207,0.31549072,2.0319824,1.9990234,site_2
1996-03-01,60.322,24.519,0.0015411377,-1.1076956,0.5341654,269.31128,2.0,0.2851172,0.2852974,0.2914657,0.31448364,2.1641846,2.0357666,site_2
